,First author,Year,Title,Journal,Abstract,wos_link,fulltext_link
0,"Gao, YQ",,Change of stream network connectivity under polder-type flood control measure,JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,"Polder is usually used for flood control in the river delta area. With the rapid development of urbanization, the dikes or pumps cut the original stream network system, and the stream network connectivity (SNC) and the river system pattern have changed. The dikes or pumps generally force up the river's water level, and regional flood formation mechanisms and processes have changed. In order to quantitatively describe the characteristics of polder-type flood control measure (PFCM) and the change law of SNC, firstly, the streams inside polders were generalized as virtual streams, a hydrological-hydrodynamic model was constructed by connecting Hydrologic Engineering Center-Hydrologic Modeling System and MIKE11 model. Secondly, an SNC evaluation model was constructed based on flow resistance and hydrological process. Finally, the SNC under different scenarios was simulated and evaluated to reveal the influence of the PFCM on SNC. And the dominance analysis method obtained the main control factors of SNC changes. The results showed that the pumps as the main drainage facility under the PFCM, SNC after the opening of the pumps were increased by 0.060, 0.103, and 0.311 for 50%, 30%, and 3% frequency flood scales compared with the pumps closed, respectively. However, compared with the natural stream (without the PFCM), the SNC decreased by 0.391, 0.456, and 0.487, respectively, at the same time of the same flood scale. The PFCM negatively impacted the SNC, and the number of pumps was the main control factor of the SNC.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000913313000001,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.atitle%3DChange%2Bof%2Bstream%2Bnetwork%2Bconnectivity%2Bunder%2Bpolder-type%2Bflood%2Bcontrol%2Bmeasure%26rft.aufirst%3DYuqin%26rft.auinit%3DYQ%26rft.aulast%3DGao%26rft.date%3D2023%26rft_id%3Dinfo%3Adoi%2F10.1111%252F1752-1688.13094%26rft.eissn%3D1752-1688%26rft.genre%3Darticle%26rft.issn%3D1093-474X%26rft.jtitle%3DJOURNAL%2BOF%2BTHE%2BAMERICAN%2BWATER%2BRESOURCES%2BASSOCIATION%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.stitle%3DJ%2BAM%2BWATER%2BRESOUR%2BAS%26rft.au%3DGao%252C%2BYQ%26rft.au%3DLiu%252C%2BYP%26rft.au%3DChen%252C%2BSN&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0E6F0AOwgVwm9KDMIQcxgqv&SrcJTitle=JOURNAL+OF+THE+AMERICAN+WATER+RESOURCES+ASSOCIATION&SrcPubType=MD_FORMAT
1,"Gu, CH",Sep 25 2012 ,Riparian biogeochemical hot moments induced by stream fluctuations,WATER RESOURCES RESEARCH,"Hyporheic exchanges in riparian zones induced by stream stage fluctuations, referred to as bank storage, can influence contaminant transport and transformation when mixing of groundwater and surface waters with distinct chemical signatures occur, which might lead to a high biochemical activity. The effect of bank storage on nutrient transport was analyzed here using a two-dimensional, variably saturated and multispecies reactive transport model, which accounted for the water flow and solute transport and reactions within riparian zones. After verification with field observations, our model demonstrated that high biogeochemical activities occurred at the near-stream riparian zone during stage fluctuation, a process referred to as bank storage hot moment (BSHM). We used Monte Carlo simulations to study the uncertainty of BSHM and related nutrient dynamics to biogeochemical and hydrological factors. The results indicated that stream fluctuations can lead to maximum bank storage volume ranging from 0 to 259 m(3) m(-1) of stream linear length (median = 9.7 m(3) and SD = 53.2 m(3)). Taking denitrification as an example, BSHM can lead to considerable NO3- removal with a median removal rate of 2.1 g d(-1) and SD of 17.2 g d(-1) per meter of stream linear length. The NO3- uptake velocity (median = 2.7 x 10(-5) and SD = 2.4 x 10(-4) m min(-1)) was comparable to that of in-stream transient storage from the literature. This result suggests that BSHM may be a significant process contributing to the nutrient budget at the ecosystem level. Finally, a theoretical framework representing the coupled hydrobiogeochemical controls on riparian hot spots was developed to help predicting when BSHM can become important in a particular stream.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000309418900003,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.artnum%3DARTN%2BW09546%26rft.atitle%3DRiparian%2Bbiogeochemical%2Bhot%2Bmoments%2Binduced%2Bby%2Bstream%2Bfluctuations%26rft.aufirst%3DChuanhui%26rft.auinit%3DCH%26rft.aulast%3DGu%26rft.date%3D2012%26rft_id%3Dinfo%3Adoi%2F10.1029%252F2011WR011720%26rft.eissn%3D1944-7973%26rft.genre%3Darticle%26rft.issn%3D0043-1397%26rft.jtitle%3DWATER%2BRESOURCES%2BRESEARCH%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.stitle%3DWATER%2BRESOUR%2BRES%26rft.volume%3D48%26rft.au%3DGu%252C%2BCH%26rft.au%3DAnderson%252C%2BW%26rft.au%3DMaggi%252C%2BF&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0E6F0AOwgVwm9KDMIQcxgqv&SrcJTitle=WATER+RESOURCES+RESEARCH&SrcPubType=MD_FORMAT
2,"Deng, MH",Jan 2022 ,On the Coupling and Coordination Development between Environment and Economy: A Case Study in the Yangtze River Delta of China,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,"The coupling and coordination development of the environment and economy (CC2E) is one of the most vital issues to sustainable development. This paper adopted the coupling coordination model, projection pursuit algorithm, and random forest model to explore the spatial-temporal evolution and influencing factors of the CC2E in the Yangtze River Delta from 2015 to 2019, respectively. The results showed that: (1) The degree of coupling coordination (DCC) of the CC2E in most cities of the Yangtze River Delta has risen from primary coordination to intermediate coordination. (2) In the spatial perspective, the distribution of DCC is correlated with geographical location. The value of DCC in the western region was significantly lower than that of the eastern cities. (3) The influencing factors results showed that the GDP in the economic subsystem and the annual average concentration of PM2.5 in the environmental subsystem were the most influencing factors of DCC in the Yangtze River Delta. The established index system of CC2E and the measurements of CC2E provide a new idea for how to achieve sustainable development. Meanwhile, this study can provide recommendations for formulating the environmental protection and economic development policy.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000741160300001,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.artnum%3DARTN%2B586%26rft.atitle%3DOn%2Bthe%2BCoupling%2Band%2BCoordination%2BDevelopment%2Bbetween%2BEnvironment%2Band%2BEconomy%253A%2BA%2BCase%2BStudy%2Bin%2Bthe%2BYangtze%2BRiver%2BDelta%2Bof%2BChina%26rft.aufirst%3DMenghua%26rft.auinit%3DMH%26rft.aulast%3DDeng%26rft.date%3D2022%26rft_id%3Dinfo%3Adoi%2F10.3390%252Fijerph19010586%26rft.eissn%3D1660-4601%26rft.genre%3Darticle%26rft.issue%3D1%26rft.jtitle%3DINTERNATIONAL%2BJOURNAL%2BOF%2BENVIRONMENTAL%2BRESEARCH%2BAND%2BPUBLIC%2BHEALTH%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.stitle%3DINT%2BJ%2BENV%2BRES%2BPUB%2BHE%26rft.volume%3D19%26rft.au%3DDeng%252C%2BMH%26rft.au%3DChen%252C%2BJF%26rft.au%3DWang%252C%2BM&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0E6F0AOwgVwm9KDMIQcxgqv&SrcJTitle=INTERNATIONAL+JOURNAL+OF+ENVIRONMENTAL+RESEARCH+AND+PUBLIC+HEALTH&SrcPubType=MD_FORMAT
3,"Lyons, LR",Workshop on High Speed Solar Wind Streams and Geospace Interactions,"Solar-wind-magnetosphere coupling, including relativistic electron energization, during high-speed streams",JOURNAL OF ATMOSPHERIC AND SOLAR-TERRESTRIAL PHYSICS,,https://www.webofscience.com/wos/woscc/full-record/WOS:000268602100006,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.atitle%3DSolar-wind-magnetosphere%2Bcoupling%252C%2Bincluding%2Brelativistic%2Belectron%2Benergization%252C%2Bduring%2Bhigh-speed%2Bstreams%26rft.aufirst%3DL.%2BR.%26rft.auinit%3DLR%26rft.aulast%3DLyons%26rft.date%3D2009%26rft_id%3Dinfo%3Adoi%2F10.1016%252Fj.jastp.2008.04.016%26rft.eissn%3D1879-1824%26rft.epage%3D1072%26rft.genre%3Darticle%26rft.issn%3D1364-6826%26rft.issue%3D10-11%26rft.jtitle%3DJOURNAL%2BOF%2BATMOSPHERIC%2BAND%2BSOLAR-TERRESTRIAL%2BPHYSICS%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rft.pages%3D1059-1072%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.spage%3D1059%26rft.stitle%3DJ%2BATMOS%2BSOL-TERR%2BPHY%26rft.volume%3D71%26rft.au%3DLyons%252C%2BLR%26rft.au%3DLee%252C%2BDY%26rft.au%3DSmith%252C%2BAJ&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0E6F0AOwgVwm9KDMIQcxgqv&SrcJTitle=JOURNAL+OF+ATMOSPHERIC+AND+SOLAR-TERRESTRIAL+PHYSICS&SrcPubType=MD_FORMAT
4,"Huang, LJ",Apr 2021 ,Spatio-Temporal Coupling Characteristics and the Driving Mechanism of Population-Land-Industry Urbanization in the Yangtze River Economic Belt,LAND,"The purpose of this paper is to probe into the coupled coordination of urbanization in population, land, and industry to improve urbanization quality. A coupled coordination degree model, spatial analysis method and spatial metering model are employed. The study area is 110 prefecture-level cities in the Yangtze River Economic Belt. The study shows that: (1) the coupling degree of the population-land-industry urbanization grew very slowly between 2006 and 2016. On the whole, the three-dimensional urbanization is in a running-in period, and land-based urbanization dominates, while population-based urbanization and industry-based urbanization are relatively lagging behind. (2) The three major urban agglomerations, the Chengdu-Chongqing, the middle reaches of the Yangtze River and the Yangtze River Delta, are parallel to the whole area in terms of the coupling degree of the three dimensional urbanization with a well-ordered structure, especially in the central cities of the three major urban agglomerations. (3) There is significant spatial correlation in the coupling degree and coordination degree of the three-dimensional urbanization. The high value of coupling degree and coordination degree are clustered continuously in developed cities, provincial capitals, and central cities of the downstream reaches of the Yangtze River. (4) The coordinated degree has significant positive spatial autocorrelation, showing obvious spatial agglomeration characteristics: H-H agglomeration areas are concentrated in the downstream developed areas such as Jiangsu, Zhejiang, and Shanghai. L-L agglomeration areas are mainly concentrated in upstream undeveloped areas, but the number of their cities shows a decreasing trend. (5) The coordination degree of the three-dimensional urbanization is the result of the comprehensive effect of economic development level, the government's decision-making behavior, and urban location. Among them, the economic development level, urbanization investment, traffic condition, and urban geographical location play a decisive role. This paper contributes to the existing literatures by exploring urbanization quality, spatial correlation and influencing factors from the perspectives of the three-dimensional urbanization in the Yangtze River Economic Belt. The conclusion might be helpful to promote the coupling and coordinated development of urbanization in population-land-industry, and ultimately to improve urbanization quality in the Yangtze River Economic Belt.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000643245400001,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.artnum%3DARTN%2B400%26rft.atitle%3DSpatio-Temporal%2BCoupling%2BCharacteristics%2Band%2Bthe%2BDriving%2BMechanism%2Bof%2BPopulation-Land-Industry%2BUrbanization%2Bin%2Bthe%2BYangtze%2BRiver%2BEconomic%2BBelt%26rft.aufirst%3DLiejia%26rft.auinit%3DLJ%26rft.aulast%3DHuang%26rft.date%3D2021%26rft_id%3Dinfo%3Adoi%2F10.3390%252Fland10040400%26rft.eissn%3D2073-445X%26rft.genre%3Darticle%26rft.issue%3D4%26rft.jtitle%3DLAND%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.stitle%3DLAND-BASEL%26rft.volume%3D10%26rft.au%3DHuang%252C%2BLJ%26rft.au%3DYang%252C%2BP%26rft.au%3DHu%252C%2BWY&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0E6F0AOwgVwm9KDMIQcxgqv&SrcJTitle=LAND&SrcPubType=MD_FORMAT
5,"Tabacchi, E",Workshop on River in the Landscape: Riparian and Groundwater Ecology,"Development, maintenance and role of riparian vegetation in the river landscape",FRESHWATER BIOLOGY,,https://www.webofscience.com/wos/woscc/full-record/WOS:000077860800006,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.atitle%3DDevelopment%252C%2Bmaintenance%2Band%2Brole%2Bof%2Briparian%2Bvegetation%2Bin%2Bthe%2Briver%2Blandscape%26rft.aufirst%3DE%26rft.auinit%3DE%26rft.aulast%3DTabacchi%26rft.date%3D1998%26rft_id%3Dinfo%3Adoi%2F10.1046%252Fj.1365-2427.1998.00381.x%26rft.epage%3D516%26rft.genre%3Darticle%26rft.issn%3D0046-5070%26rft.issue%3D3%26rft.jtitle%3DFRESHWATER%2BBIOLOGY%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rft.pages%3D497-516%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.spage%3D497%26rft.stitle%3DFRESHWATER%2BBIOL%26rft.volume%3D40%26rft.au%3DTabacchi%252C%2BE%26rft.au%3DCorrell%252C%2BDL%26rft.au%3DWissmar%252C%2BRC&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0E6F0AOwgVwm9KDMIQcxgqv&SrcJTitle=FRESHWATER+BIOLOGY&SrcPubType=MD_FORMAT
6,"Malki, R",Mar 1 2013 ,A coupled blade element momentum - Computational fluid dynamics model for evaluating tidal stream turbine performance,APPLIED MATHEMATICAL MODELLING,"A modelling approach based on blade element momentum theory is developed for the prediction of tidal stream turbine performance in the ocean environment. Through the coupling of the blade element momentum method with computational fluid dynamics, the influence of upstream hydrodynamics on rotor performance is accounted for. Incoming flow onto the rotor can vary in speed and direction compared to free-stream conditions due to the presence of obstructions to the flow in the upstream, due to other devices for example, or due to the complexity of natural bathymetries. The relative simplicity of the model leads to short run times and a lower demand on computational resources making it a useful tool for considering more complex engineering problems consisting of multiple tidal stream turbines. Results from the model compare well against both measured data from flume experiments and results obtained using the classical blade element momentum model.. A discussion considering the advantages and disadvantages of these different approaches is included. (C) 2012 Elsevier Inc. All rights reserved.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000316768900032,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.atitle%3DA%2Bcoupled%2Bblade%2Belement%2Bmomentum%2B-%2BComputational%2Bfluid%2Bdynamics%2Bmodel%2Bfor%2Bevaluating%2Btidal%2Bstream%2Bturbine%2Bperformance%26rft.aufirst%3DR.%26rft.auinit%3DR%26rft.aulast%3DMalki%26rft.date%3D2013%26rft_id%3Dinfo%3Adoi%2F10.1016%252Fj.apm.2012.07.025%26rft.eissn%3D1872-8480%26rft.epage%3D3020%26rft.genre%3Darticle%26rft.issn%3D0307-904X%26rft.issue%3D5%26rft.jtitle%3DAPPLIED%2BMATHEMATICAL%2BMODELLING%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rft.pages%3D3006-3020%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.spage%3D3006%26rft.stitle%3DAPPL%2BMATH%2BMODEL%26rft.volume%3D37%26rft.au%3DMalki%252C%2BR%26rft.au%3DWilliams%252C%2BAJ%26rft.au%3DMasters%252C%2BI&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0E6F0AOwgVwm9KDMIQcxgqv&SrcJTitle=APPLIED+MATHEMATICAL+MODELLING&SrcPubType=MD_FORMAT
7,"Stegen, JC",Feb 8 2018 ,Influences of organic carbon speciation on hyporheic corridor biogeochemistry and microbial ecology,NATURE COMMUNICATIONS,"The hyporheic corridor (HC) encompasses the river-groundwater continuum, where the mixing of groundwater (GW) with river water (RW) in the HC can stimulate biogeochemical activity. Here we propose a novel thermodynamic mechanism underlying this phenomenon and reveal broader impacts on dissolved organic carbon (DOC) and microbial ecology. We show that thermodynamically favorable DOC accumulates in GW despite lower DOC concentration, and that RW contains thermodynamically less-favorable DOC, but at higher concentrations. This indicates that GW DOC is protected from microbial oxidation by low total energy within the DOC pool, whereas RW DOC is protected by lower thermodynamic favorability of carbon species. We propose that GW-RW mixing overcomes these protections and stimulates respiration. Mixing models coupled with geophysical and molecular analyses further reveal tipping points in spatiotemporal dynamics of DOC and indicate important hydrology-biochemistry-microbial feedbacks. Previously unrecognized thermodynamic mechanisms regulated by GW-RW mixing may therefore strongly influence biogeochemical and microbial dynamics in riverine ecosystems.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000424452200001,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.artnum%3DARTN%2B585%26rft.atitle%3DInfluences%2Bof%2Borganic%2Bcarbon%2Bspeciation%2Bon%2Bhyporheic%2Bcorridor%2Bbiogeochemistry%2Band%2Bmicrobial%2Becology%26rft.aufirst%3DJames%2BC.%26rft.auinit%3DJC%26rft.aulast%3DStegen%26rft.date%3D2018%26rft_id%3Dinfo%3Adoi%2F10.1038%252Fs41467-018-02922-9%26rft.genre%3Darticle%26rft.issn%3D2041-1723%26rft.jtitle%3DNATURE%2BCOMMUNICATIONS%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.stitle%3DNAT%2BCOMMUN%26rft.volume%3D9%26rft.au%3DStegen%252C%2BJC%26rft.au%3DJohnson%252C%2BT%26rft.au%3DZachara%252C%2BJ&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0E6F0AOwgVwm9KDMIQcxgqv&SrcJTitle=NATURE+COMMUNICATIONS&SrcPubType=MD_FORMAT
8,"Higuera, M",Sep-oct 2002 ,Coupled amplitude-streaming flow equations for nearly inviscid Faraday waves in small aspect ratio containers,JOURNAL OF NONLINEAR SCIENCE,"We derive a set of asymptotically exact coupled amplitude-streaming flow (CASF) equations governing the evolution of weakly nonlinear nearly inviscid multimode Faraday waves and the associated streaming flow in finite geometries. The streaming flow is found to play a particularly important role near mode interactions. Such interactions come about either through a suitable choice of parameters or through breaking of degeneracy among modes related by symmetry. An example of the first case is provided by the interaction of two nonaxisymmetric modes in a circular container with different azimuthal wavenumbers. The second case arises when the shape of the container is changed from square to slightly rectangular, or from circular to slightly noncircular but with a plane of symmetry. The generation of streaming flow in each of these cases is discussed in detail and the properties of the resulting CASF equations are described. A preliminary analysis suggests that these equations can resolve discrepancies between existing theory and experimental results in the first two of the above cases.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000178075000004,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.atitle%3DCoupled%2Bamplitude-streaming%2Bflow%2Bequations%2Bfor%2Bnearly%2Binviscid%2BFaraday%2Bwaves%2Bin%2Bsmall%2Baspect%2Bratio%2Bcontainers%26rft.aufirst%3DM%26rft.auinit%3DM%26rft.aulast%3DHiguera%26rft.date%3D2002%26rft_id%3Dinfo%3Adoi%2F10.1007%252Fs00332-002-0500-6%26rft.eissn%3D1432-1467%26rft.epage%3D551%26rft.genre%3Darticle%26rft.issn%3D0938-8974%26rft.issue%3D5%26rft.jtitle%3DJOURNAL%2BOF%2BNONLINEAR%2BSCIENCE%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rft.pages%3D505-551%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.spage%3D505%26rft.stitle%3DJ%2BNONLINEAR%2BSCI%26rft.volume%3D12%26rft.au%3DHiguera%252C%2BM%26rft.au%3DVega%252C%2BJM%26rft.au%3DKnobloch%252C%2BE&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0E6F0AOwgVwm9KDMIQcxgqv&SrcJTitle=JOURNAL+OF+NONLINEAR+SCIENCE&SrcPubType=MD_FORMAT
9,"Fan, JT",Oct 2018 ,"Priorization of River Restoration by Coupling Soil and Water Assessment Tool (SWAT) and Support Vector Machine (SVM) Models in the Taizi River Basin, Northern China",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,"Identifying priority zones for river restoration is important for biodiversity conservation and catchment management. However, limited data due to the difficulty of field collection has led to research to better understand the ecological status within a catchment and develop a targeted planning strategy for river restoration. To address this need, coupling hydrological and machine learning models were constructed to identify priority zones for river restoration based on a dataset of aquatic organisms (i.e., algae, macroinvertebrates, and fish) and physicochemical indicators that were collected from 130 sites in September 2014 in the Taizi River, northern China. A process-based model soil and water assessment tool (SWAT) was developed to model the temporal-spatial variations in environmental indicators. A support vector machine (SVM) model was applied to explore the relationships between aquatic organisms and environmental indicators. Biological indices among different hydrological periods were simulated by coupling SWAT and SVM models. Results indicated that aquatic biological indices and physicochemical indicators exhibited apparent temporal and spatial patterns, and those patterns were more evident in the upper reaches compared to the lower reaches. The ecological status of the Taizi River was better in the flood season than that in the dry season. Priority zones were identified for different hydrological seasons by setting the target values for ecological restoration based on biota organisms, and the results suggest that hydrological conditions significantly influenced restoration prioritization over other environmental parameters. Our approach could be applied in other seasonal river ecosystems to provide important preferences for river restoration.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000448818100032,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.artnum%3DARTN%2B2090%26rft.atitle%3DPriorization%2Bof%2BRiver%2BRestoration%2Bby%2BCoupling%2BSoil%2Band%2BWater%2BAssessment%2BTool%2B%2528SWAT%2529%2Band%2BSupport%2BVector%2BMachine%2B%2528SVM%2529%2BModels%2Bin%2Bthe%2BTaizi%2BRiver%2BBasin%252C%2BNorthern%2BChina%26rft.aufirst%3DJuntao%26rft.auinit%3DJT%26rft.aulast%3DFan%26rft.date%3D2018%26rft_id%3Dinfo%3Adoi%2F10.3390%252Fijerph15102090%26rft.eissn%3D1660-4601%26rft.genre%3Darticle%26rft.issue%3D10%26rft.jtitle%3DINTERNATIONAL%2BJOURNAL%2BOF%2BENVIRONMENTAL%2BRESEARCH%2BAND%2BPUBLIC%2BHEALTH%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.stitle%3DINT%2BJ%2BENV%2BRES%2BPUB%2BHE%26rft.volume%3D15%26rft.au%3DFan%252C%2BJT%26rft.au%3DLi%252C%2BMD%26rft.au%3DWu%252C%2BFC&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0E6F0AOwgVwm9KDMIQcxgqv&SrcJTitle=INTERNATIONAL+JOURNAL+OF+ENVIRONMENTAL+RESEARCH+AND+PUBLIC+HEALTH&SrcPubType=MD_FORMAT
