,First author,Year,Title,Journal,Abstract
0,"Faiz, MA",May 2018 ,"Stream flow variability and drought severity in the Songhua River Basin, Northeast China",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,"A slight variation in the magnitude of stream flow can have a substantial influence on the development of water resources. The Songhua River Basin (SRB) serves as a major grain commodity basin and is located in the northeastern region of China. Recent studies have identified a gradual decrease in stream flows, which presents a serious risk to water resources of the region. It is therefore necessary to assess the variation in stream flow and to predict the future of stream flows and droughts to make a comprehensive plan for agricultural irrigation. The simulation of monthly stream flows and the investigation of the influence of climate on the stream flow in the SRB were performed by utilizing the Integrated Water Evaluation and Planning (WEAP) tool coupled with observed precipitation data, as well as the Asian Precipitation-Highly-Resolved Observational Data Integration towards Evaluation of Water Resources (APHRODITE's Water Resources) precipitation product. The Nash-Sutcliffe coefficient (NSC) was used to assess the WEAP efficiency. During the time of calibration, NSC was obtained as 0.90 and 0.67 using observed and APHRODITE precipitation data, respectively. The results indicate that WEAP can be used effectively in the SRB. The application of the model suggested a maximum decline in stream flow, reaching 24% until the end of 21st century under future climate change scenarios. The drought indices (standardized drought index and percent of normal index) demonstrated that chances of severe to extreme drought events are highest in 2059, 2060 and 2085, while in the remaining time period mild to moderate drought events may occur in the entire study area. The drought duration, severity and intensity for the period of 2011-2099 under all scenarios, [(A1B: 12, - 1.55, - 0.12), (A2: 12, - 1.41, - 0.09), (max. wetting and warming conditions: 12, - 1.37, - 0.11) and (min. wetting and warming conditions: 12, - 1.69, - 0.19)], respectively.Show less"
1,"Klymak, JM",Feb 16 2016 ,Submesoscale streamers exchange water on the north wall of the Gulf Stream,GEOPHYSICAL RESEARCH LETTERS,"The Gulf Stream is a major conduit of warm surface water from the tropics to the subpolar North Atlantic. Here we observe and simulate a submesoscale (<20km) mechanism by which the Gulf Stream exchanges water with subpolar water to the north. Along isopycnals, the front has a sharp compensated temperature-salinity contrast, with distinct mixed water between the two water masses 2 and 4km wide. This mixed water does not increase downstream despite substantial energy available for mixing. A series of streamers detrain this water at the crest of meanders. Subpolar water replaces the mixed water and resharpens the front. The water mass exchange accounts for a northward flux of salt of 0.5-2.5 psum(2)s(-1), (large-scale diffusivity O (100m(2)s(-1))). This is similar to bulk-scale flux estimates of 1.2psum(2)s(-1) and supplies fresher water to the Gulf Stream required for the production of 18 degrees subtropical mode water.Show less"
2,"Abernethy, EF",,"Population connectivity of aquatic insects in a dam-regulated, desert river",RIVER RESEARCH AND APPLICATIONS,"Humans have exaggerated natural habitat fragmentation, negatively impacting species dispersal and reducing population connectivity. Habitat fragmentation can be especially detrimental in freshwater populations, whose dispersal is already constrained by the river network structure. Aquatic insects, for instance, are generally limited to two primary modes of dispersal: downstream drift in the aquatic juvenile life stages and flight during the terrestrial winged adult stage. Yet the impacts of large hydropower dams can make rivers uninhabitable for incoming (drifting) juvenile insects, with remaining refugia found only in tributaries. The ability of adult aquatic insects to traverse such river stretches in search of suitable tributary habitat likely depends on factors such as species-specific dispersal ability and distance between tributaries. To explore the intersection of natural and human-induced habitat fragmentation on aquatic insect dispersal ability, we quantified population genetics of three taxa with varying dispersal abilities, a caddisfly (Hydropsychidae, Hydropsyche oslari), a mayfly (Baetidae: Fallceon quilleri), and a water strider (Veliidae: Rhagovelia distincta), throughout tributaries of the Colorado River in the Grand Canyon, Arizona, USA. Using 2bRAD reduced genome sequencing and landscape genetics analyses, we revealed a strong pattern of isolation by distance among mayfly populations. This contrasts with caddisfly and water strider populations, which were largely panmictic. Analysis of thousands of informative single nucleotide polymorphisms showed that realized dispersal ability may not be accurately predicted by species traits for these widespread species. Principal components analysis revealed a strong division between caddisfly populations upstream and downstream of Havasu Creek (279 km through the 390 km study reach), suggesting that the geography of the Grand Canyon imposes a dispersal barrier for this species. Our use of genetic tools in the Grand Canyon to understand population structure has enabled us to elucidate dispersal barriers for aquatic insects. Ultimately, these data may be useful in informing effective conservation management plans for understudied organisms of conservation interest.Show less"
3,"Demetrescu, C",Dec 2009 ,Trading Off Space for Passes in Graph Streaming Problems,ACM TRANSACTIONS ON ALGORITHMS,"Data stream processing has recently received increasing attention as a computational paradigm for dealing with massive data sets. Surprisingly, no algorithm with both sublinear space and passes is known for natural graph problems in classical read-only streaming. Motivated by technological factors of modern storage systems, some authors have recently started to investigate the computational power of less restrictive models where writing streams is allowed. In this article, we show that the use of intermediate temporary streams is powerful enough to provide effective space-passes tradeoffs for natural graph problems. In particular, for any space restriction of s bits, we show that single-source shortest paths in directed graphs with small positive integer edge weights can be solved in O((n log(3/2) n)/root s) passes. The result can be generalized to deal with multiple sources within the same bounds. This is the first known streaming algorithm for shortest paths in directed graphs. For undirected connectivity, we devise an O((n log n)/s) passes algorithm. Both problems require Omega(n/s) passes under the restrictions we consider. We also show that the model where intermediate temporary streams are allowed can be strictly more powerful than classical streaming for some problems, while maintaining all of its hardness for others.Show less"
4,"Baker, MA",Feb 2004 ,"Hydrological variability, organic matter supply and denitrification in the Garonne River ecosystem",FRESHWATER BIOLOGY,"1. Groundwater nitrate contamination has become a worldwide problem as increasing amounts of nitrogen fertilisers are used in agriculture. Alluvial groundwater is uniquely juxtaposed between soils and streams. Hydrological connections among these subsystems regulate nutrient cycling.2. We measured denitrification using an in situ acetylene-block assay in a nitrate-contaminated portion of the Garonne River catchment along a gradient of surface water-ground water mixing during high (snowmelt) and low flow.3. During high flow (mid-April to early June) the water table rose an average of 35 cm and river water penetrated the subsurface to a great extent in monitoring wells. Denitrification rates averaged 5.40 mugN(2)O L-1 min(-1) during the high flow period, nearly double the average rate (2.91 mugN(2)O L-1 min(-1)) measured during base flow. This was driven by a strong increase in denitrification in groundwater under native riparian vegetation. Nitrate concentrations were significantly lower during high flow compared with base flow. Riparian patches had higher dissolved organic carbon concentrations that were more aromatic compared with the gravel bar patch closest to the river.4. Multiple linear regression showed that the rate of denitrification was best predicted by the concentration of low molecular weight organic acids. These molecules are probably derived from decomposition of soil organic matter and are an important energy source for anaerobic respiratory processes like denitrification. The second best predictor was per cent surface water, reflecting higher denitrification rates during spring when hydrological connection between surface water and ground water was greatest.5. Our results indicate that, while denitrification rates in Garonne River alluvium were spatially and temporally variable, denitrification was a significant NO3 sink during transport from the NO3-contaminated floodplain to the river. DOC availability and river-floodplain connectivity were important factors influencing observed spatial and temporal patterns.Show less"
5,"Liu, SD",Mar 15 2021 ,Groundwater as a limited carbon dioxide source in a large river (the Yangtze River),SCIENCE OF THE TOTAL ENVIRONMENT,"Groundwater discharge to river networks makes up a major source of riverine CO2 emission, available evidence however comes mainly from headwater streams which are directly connected to terrestrial ecosystems and spatially limited in terms of system size. Here relying on coupled water and CO2 mass balances, we quantified the groundwater-mediated CO2 input to the Yangtze River mainstem on an annual basis, where the mass balance of water provided physical constraints on CO2 exchange between the river and groundwater. A landscape topographic control of the groundwater-river interaction was proposed where mountain reaches preferentially receive water and CO2 discharge from the groundwater while plain alluvial reaches predominantly lose water to the aquifers. Groundwater CO2 inputs were however small in magnitude on all reaches (0.3-14% of the total CO2 emission and transport by the river) and unable to account for the discrepancy between surface evasion and internalmetabolismin the river. Minor direct groundwater discharge to the reaches in comparison to smaller streams (negative to < 3.5% of the surface water flows) was concluded to be the main reason for low groundwater-sourced CO2 in the large river reaches. (C) 2020 Elsevier B.V. All rights reserved.Show less"
6,"Zhang, JH",Aug 2018 ,"Water Compensation and Its Implication of the Three Gorges Reservoir for the River-Lake System in the Middle Yangtze River, China",WATER,"Dam construction is an important means to improve water use efficiency and the aquatic environment. However, the flow regulation of the Three Gorges Reservoir (TGR) in the middle Yangtze River has attracted much attention because the severe drought occurred in the river-lake system downstream of the TGR. In this paper, the Dongting Lake was selected as a case study in order to detect the possible relationship between the flow regulation of the TGR and the extreme drought in the river-lake system based on a coupled hydrodynamic model. The results not only confirmed the significant role of the TGR to relieve drought in the river-lake system, but also indicated that the outflow of the TGR and the hydraulic gradient between the Zhicheng to Chenglingji stations were the crucial factors to affect the water exchange between the rivers and the Dongting Lake. The adjustment of hydraulic gradient within a proper range during the water compensation of the TGR will be an effective measure to improve the water exchange and water environment in the river-lake system. These findings present the quantitative influence of these important factors on the water exchange between rivers and lakes and provide a scientific reference for environmental and ecological management of other river-lake systems.Show less"
7,"Dangeard, M",Oct 2021 ,River Corridor Model Constrained by Time-Lapse Seismic Acquisition,WATER RESOURCES RESEARCH,"A new hydrogeophysical approach was developed to reveal the spatial and temporal dynamic flow pathways inside a river corridor as well as the pattern of transient surface water and the groundwater (SW-GW) exchanges. Obtaining such information from traditional hydrological data remains a challenge, both in terms of accuracy and validation. As there is no direct measurement of these fluxes, estimating dynamic pathways and SW-GW exchanges is frequently tackled with the help of numerical models. Yet, the definition of initial and boundary conditions is generally based on poorly constrained assumptions and restrained to the location of piezometers, due to the lack of knowledge of the water table (WT) geometry. We provide a methodology to build stronger constraints to the numerical simulation and the hydrodynamic parameters calibration, both in space and time, by using a multi-method approach. On the Orgeval Critical Zone observatory (France), we show how a thorough interpretation of high-resolution geophysical images, combined with geotechnical data, helps to resolve subsurface structural heterogeneity. This coupling provides a detailed distribution of hydrofacies, valuable prior information about the associated hydrodynamic properties distribution. The temporal dynamic of the WT table can be locally captured with high-resolution time-lapse seismic acquisitions. Time-lapse variations are interpreted as temporal changes in the saturated-unsaturated zone continuum. Each seismic snapshot is then thoroughly inverted to image spatial WT variations. This posterior geophysical information is then used to calibrate the hydrogeological modeling domain. The use of the WT improves the estimation of transient stream-aquifer exchanges, especially during the rain event.Show less"
8,"McCreesh, RK",Sep 2019 ,"Reintroduced Beavers Rapidly Influence the Storage and Biogeochemistry of Sediments in Headwater Streams (Methow River, Washington)",NORTHWEST SCIENCE,"North American beavers (Castor canadensis) were targeted within North American headwater landscapes by European loggers and fur traders in the 19th century, reducing beaver populations to near extinction by 1900. The extirpation of beavers from river networks has had profound effects on riparian zones, including channel geomorphology, temperature regimes, sediment storage, channel-floodplain connectivity, carbon storage and nutrient dynamics. Consequently, reintroducing beavers has been provisionally implemented as a restoration approach within some watersheds. We characterized how reintroduced beavers influence the short-term dynamics of organic material accumulation within the sediments of 1st and 2nd order streams within the Methow River watershed of Washington State. In collaboration with the Methow Beaver Project, we identified four creeks where they had reintroduced beavers within the past five years, as well as a control non-beaver pond. At each site, we collected shallow sediment cores from upstream, downstream, and within beaver ponds, and then measured organic material via elemental analyses of sediment carbon (%C) and nitrogen (%N) content. We compared those samples to sediments accumulated in local pond areas not created by beaver activity. Our results show greater organic C and N content of sediments in beaver ponds than non-beaver ponds. C/N ratios indicate elevated accumulation of allochthonous organic material in beaver impoundment sediments that would otherwise not be integrated into headwater streams from the terrestrial landscape. These findings suggest that the reintroduction of beavers could be an effective means to promote restoration of whole ecosystem function.Show less"
9,"Evans, EC",Mar 30 1998 ,River energy budgets with special reference to river bed processes,HYDROLOGICAL PROCESSES,"This paper uses detailed hydrometeorological data to evaluate the influence of channel bed processes on the river energy budget at an experimental site on the regulated River Blithe, Staffordshire, UK. Results from a pilot study are presented for eight days during July, September, October and November 1994.Total energy gains were dominated by net short-wave radiation (97.60%) with significant contributions from sensible heat exchange and friction (1.17 and 1.06%, respectively) and minor additions from condensation and bed conduction (0.16 and 0.01%, respectively). Net long-wave radiation, evaporation, conduction into the river bed, sensible heat transfer and the energy advected during evaporation accounted for 53.98, 23.56, 16.27, 5.25 and 0.94% of the total heat losses. On average, over 82% of the total energy transfers occurred at the air-water interface. Approximately 15% of the total energy exchanges occurred at the channel bed, but maximum daily heat exchanges accounted for up to 24% of the daily total energy transfer. The amount of short-wave radiation attenuated in the water column, and values measured at the channel bed varied considerably from those calculated using a standard coefficient. Values of bed conduction varied in response to different vertical thermal profiles in the channel bed, reflecting the variable influence of sedimentology and groundwater flux. Fluctuations in levels of periphyton and macrophyte cover were also shown to have a significant effect on energy fluxes at the channel bed. (C) 1998 John Wiley & Sons, Ltd.Show less"
