,Title,Author,Abstract
0,Stream order and connectivity affect phosphorus distribution in plain river network,"Lyu, HH","The order and connectivity of streams influence phosphorus distribution extensively. In this work, the space-and-time variabilities of total phosphorus (TP), particulate phosphorus (PP), total dissolved phosphorus (TDP), dissolved reactive phosphorus (DRP), and dissolved unreactive phosphorus (DUP) in streams of three orders (?, ?, III) were analyzed during each spring of 2016-2018 in a plain river network area, China. The results show that: ? PP was the main form of TP and DRP was the main form of TDP. ? The average concentrations of phosphorus in the order ? streams were significant larger than those in the order III streams. ? The concentrations of TP, PP, TDP, and DRP in the poor-connected streams were considerably higher than those in the well-connected streams. Therefore, it is essential to implement effective practices to improve the protection and appropriate connectivity of small streams in plain river network areas.Show less"
1,"Effect of human activity intensity on stream structure and connectivity in Shaying River Basin, China","Luo, ZL","In order to quantify the relationship between human activity intensity and the evolution of stream structure and connectivity, the characteristics of spatial distribution and temporal evolution of stream structure and connectivity in different periods were studied by using river structure parameters and landscape ecology methods. The results indicate the following. (1) The mainstream trend of stream system, with the stream development coefficient decreased by 18.35% and 22.50% for the second- and third-level of stream, is obvious. (2) Human activity intensity has a significant impact on the change of stream structure and connectivity. Under the background of economy domination, the stronger human intervention is, the simpler streamstructure will be, and the poorer streamconnectivity will be. (3) From the view of time series, it is considered that human activities are the main reasons for affecting the change of stream structure and connectivity in the short term, while the natural factors have little effect. (4) The length of low-level streams is more affected by human activities than that of the high-level streams, but water surface ratio is opposite. This study can provide a reference for coordinating the contradiction between socio-economic development and protection of stream systems.Show less"
2,Southwestern Intermittent and Ephemeral Stream Connectivity,"Goodrich, DC","Ephemeral and intermittent streams are abundant in the arid and semiarid landscapes of the Western and Southwestern United States (U.S.). Connectivity of ephemeral and intermittent streams to the relatively few perennial reaches through runoff is a major driver of the ecohydrology of the region. These streams supply water, sediment, nutrients, and biota to downstream reaches and rivers. In addition, they provide runoff to recharge alluvial and regional groundwater aquifers that support baseflow in perennial mainstem stream reaches over extended periods when little or no precipitation occurs. Episodic runoff, as well as groundwater inflow to surface water in streams support limited naturally occurring riparian communities. This paper provides an overview and comprehensive examination of factors affecting the hydrologic, chemical, and ecological connectivity of ephemeral and intermittent streams on perennial or intermittent rivers in the arid and semiarid Southwestern U.S. Connectivity as influenced and moderated through the physical landscape, climate, and human impacts to downstream waters or rivers is presented first at the broader Southwestern scale, and secondly drawing on a specific and more detailed example of the San Pedro Basin due to its history of extensive observations and research in the basin. A wide array of evidence clearly illustrates hydrologic, chemical, and ecological connectivity of ephemeral and intermittent streams throughout stream networks.Show less"
3,Connectivity in rivers,"Wohl, E","Connectivity describes the degree to which matter and organisms can move among spatially defined units in a natural system. River connectivity is typically described in longitudinal, lateral, and vertical dimensions within the river corridor and the watershed and can be conceptualized as a continuum from fully connected to disconnected over diverse temporal and spatial scales. Explicit characterization of connectivity helps understanding of disparities among short-term, local rates of flux and inferred fluxes over larger scales. Connectivity also strongly influences the response of rivers to natural and human disturbances. Investigations of connectivity facilitate the recognition of processes that cross traditional disciplinary boundaries, as well as understanding of nonlinear behavior and retention within rivers. Enhancing the ability to identify, quantify, and predict the processes that create and maintain connectivity is integral to the effective management of rivers.Show less"
4,Mapping longitudinal stream connectivity in the North St. Vrain Creek watershed of Colorado,"Wohl, E","We use reach-scale stream gradient as an indicator of longitudinal connectivity for water, sediment, and organic matter in a mountainous watershed in Colorado. Stream reaches with the highest gradient tend to have narrow valley bottoms with limited storage space and attenuation of downstream fluxes, whereas stream reaches with progressively lower gradients have progressively more storage and greater attenuation. We compared the distribution of stream gradient to stream-reach connectivity rankings that incorporated multiple potential control variables, including lithology, upland vegetation, hydroclimatology, road crossings, and flow diversions. We then assessed connectivity rankings using different weighting schemes against stream gradient and against field based understanding of relative connectivity within the watershed. We conclude that stream gradient, which is simple to map using publicly available data and digital elevation models, is the most robust indicator of relative longitudinal connectivity within the river network. (C) 2016 Elsevier B.V. All rights reserved.Show less"
5,The impact of dams on the river connectivity of the two largest river basins in China,"Yi, YJ","Dams are built on rivers for power generation, flood prevention and control, and water resources utilization. However, dams also reduce the connectivity of rivers, which hinders the exchange of material and organisms within rivers. The Yangtze River Basin and the Yellow River Basin are the two largest river basins in China. In this study, the connectivity of these two huge and highly impacted systems was investigated. The Dendritic Connectivity Index (DCI) was applied to evaluate the impact on river connectivity of dams with a reservoir capacity of larger than 0.1 km(3). The results show that river connectivity decreased following an increase in dam construction. The connectivity of the Yangtze River Basin was close to 80 (0 is completely disconnected and 100 is connectivity under natural condition) in the 1980s, but declined significantly after the Gezhouba Dam was constructed on the mainstream of the Yangtze River. From 1980 to 2010, the connectivity of the Yellow River Basin was always lower than that of the Yangtze River Basin. The changes in the connectivity indices of potamodromous fish (DCIp) and diadromous fish (DCId) were determined for the period of 1980-2010. In the Yangtze River Basin, the DCIp decreased by 67.28% and the DCId decreased by 65.72%. In the Yellow River Basin, the DCIp decreased by 43.8% and the DCId decreased by 100%. In conclusion, the construction of dams, especially those on the main stream, has reduced the connectivity of the basin. The connectivity of the Yangtze River Basin and the Yellow River Basin has been severely affected.Show less"
6,River-stream connectivity affects fish bioassessment performance,"Hitt, NP","Stream fish bioassessment methods assume that fish assemblages observed in sample sites reflect responses to local stressors, but fish assemblages are influenced by local factors as well as regional dispersal to and from connected streams. We hypothesized that fish movement to and from refugia and source populations in connected rivers (i.e., riverine dispersal) would weaken or decouple relations between fish community metrics and local environmental conditions. We compared fish-environment relations between streams that flow into large rivers (mainstem tributaries) and streams that lack riverine confluences (headwater tributaries) at multiple spatial grains using data from the USEPA's Environmental Monitoring and Assessment Program in the mid-Atlantic highlands, USA (n = 157 sites). Headwater and mainstem tributaries were not different in local environmental conditions, but showed important differences in fish metric responses to environmental quality gradients. Stream sites flowing into mainstem channels within 10 fluvial km showed consistently weaker relations to local environmental conditions than stream sites that lacked such mainstem connections. Moreover, these patterns diminished at longer distances from riverine confluences, consistent with the hypothesis of riverine dispersal. Our results suggest that (1) the precision of fish bioassessment metrics may be improved by calibrating scoring criteria based on the spatial position of sites within stream networks and (2) the spatial grain of fish bioassessment studies may be manipulated to suit objectives by including or excluding fishes exhibiting riverine dispersal.Show less"
7,Changes in river connectivity indexes in the lower Yellow River between 1960 and 2015,"Chen, Y","Channel connectivity in the lower Yellow River has changed in recent decades as a result of climate change and human activities. Developing indexes that can be used to assess channel connectivity is a key issue in the lower Yellow River and beyond. We propose a suite of connectivity indexes based on several components of a river channel, including boundary, flow, and sediment indicators. Through an analysis of river connectivity over time in the lower Yellow River, we found that a decrease in precipitation was the main cause of poor river connectivity conditions in the 1990s. Since 1999, the year of impoundment of the Xiaolangdi Reservoir, river connectivity has improved, as shown by boundary, sediment, and ecology indexes, as a result of reservoir operation and regulation. However, water diversion may increase channel sedimentation, leading to a decline in sediment connectivity. The suite of river connectivity indexes developed in this paper and applied to the Yellow River can be used in similar sediment-laden streams in other semiarid regions worldwide.Show less"
8,Change of stream network connectivity and its impact on flood control,"Gao, YQ","Urbanization can alter the hydrogeomorphology of streams and rivers, change stream network structures, and reduce stream network connectivity, which leads to a decrease in the storage capacity of stream networks and aggravates flood damage. Therefore, investigation of the ways in which stream network connectivity impacts flood storage capacity and flood control in urbanized watersheds can provide significant benefits. This study developed a framework to assess stream network connectivity and its impact on flood control. First, a few connectivity indices were adopted to assess longitudinal stream network connectivity. Afterward, the static and dynamic storage capacities of stream networks were evaluated using storage capacity indices and a one-dimensional hydrodynamic model. Finally, the impact of stream network connectivity change on flood control was assessed by investigating the changes in stream network connectivity and storage capacity. This framework was applied to the Qinhuai River Basin, China, where intensive urbanization has occurred in the last few decades. The results show that stream network storage capacity is affected by stream network connectivity. Increasing stream network connectivity enhances stream network storage capacity. (c) 2021 Hohai University. Production and hosting by Elsevier B.V. This is an open access article under the CC BY-NC-ND license (http:// creativecommons.org/licenses/by-nc-nd/4.0/).Show less"
9,Physical and Chemical Connectivity of Streams and Riparian Wetlands to Downstream Waters: A Synthesis,"Fritz, KM","Streams, riparian areas, floodplains, alluvial aquifers, and downstream waters (e.g., large rivers, lakes, and oceans) are interconnected by longitudinal, lateral, and vertical fluxes of water, other materials, and energy. Collectively, these interconnected waters are called fluvial hydrosystems. Physical and chemical connectivity within fluvial hydrosystems is created by the transport of nonliving materials (e.g., water, sediment, nutrients, and contaminants) which either do or do not chemically change (chemical and physical connections, respectively). A substantial body of evidence unequivocally demonstrates physical and chemical connectivity between streams and riparian wetlands and downstream waters. Streams and riparian wetlands are structurally connected to downstream waters through the network of continuous channels and floodplain form that make these systems physically contiguous, and the very existence of these structures provides strong geomorphologic evidence for connectivity. Functional connections between streams and riparian wetlands and their downstream waters vary geographically and over time, based on proximity, relative size, environmental setting, material disparity, and intervening units. Because of the complexity and dynamic nature of connections among fluvial hydrosystem units, a complete accounting of the physical and chemical connections and their consequences to downstream waters should aggregate over multiple years to decades.Show less"
